hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.1.4.out
cat machinefile
hpc-lhr2-02-rdma slots=4
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 4 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       1.33
2                       1.34
4                       1.34
8                       1.34
16                      1.34
32                      1.69
64                      1.73
128                     2.03
256                     2.38
512                     2.57
1024                    3.16
2048                    3.97
4096                    6.73
8192                   11.11
16384                  17.94
32768                  32.24
65536                  59.03
131072                139.25
262144                107.88
524288                241.31
1048576               492.58
