hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.5.32.out
cat machinefile
hpc-lhr2-02-rdma slots=32
hpc-lhr2-03-rdma slots=32
hpc-lhr2-04-rdma slots=32
hpc-lhr2-05-rdma slots=32
hpc-lhr2-06-rdma slots=32
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 160 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                      30.41
2                      29.35
4                      30.34
8                      31.94
16                     34.58
32                     40.83
64                     75.89
128                   387.52
256                   544.34
512                   716.17
1024                  932.95
2048                 3421.81
4096                 2718.52
8192                 8442.71
16384               12161.75
32768               22710.33
65536               43608.30
131072             105202.58
262144             177149.60
524288             372423.36
1048576            729508.89
