hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.6.2.out
cat machinefile
hpc-lhr2-02-rdma slots=2
hpc-lhr2-03-rdma slots=2
hpc-lhr2-04-rdma slots=2
hpc-lhr2-05-rdma slots=2
hpc-lhr2-06-rdma slots=2
hpc-lhr2-07-rdma slots=2
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 12 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       6.04
8                       5.97
16                      5.73
32                      6.05
64                      6.43
128                     8.22
256                     8.61
512                     9.16
1024                   10.34
2048                   12.53
4096                   17.17
8192                   26.64
16384                  48.31
32768                  60.53
65536                  86.28
131072                137.74
262144                233.29
524288                420.33
1048576               817.82
