hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.5.1.out
cat machinefile
hpc-lhr2-02-rdma slots=1
hpc-lhr2-03-rdma slots=1
hpc-lhr2-04-rdma slots=1
hpc-lhr2-05-rdma slots=1
hpc-lhr2-06-rdma slots=1
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 5 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       2.55
2                       2.32
4                       2.31
8                       2.31
16                      2.31
32                      2.34
64                      2.41
128                     2.96
256                     3.06
512                     3.76
1024                    3.66
2048                    4.83
4096                   15.30
8192                   21.42
16384                  28.91
32768                  38.99
65536                  63.95
131072                135.98
262144                207.44
524288                385.42
1048576               766.57
