hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.5.8.out
cat machinefile
hpc-lhr2-02-rdma slots=8
hpc-lhr2-03-rdma slots=8
hpc-lhr2-04-rdma slots=8
hpc-lhr2-05-rdma slots=8
hpc-lhr2-06-rdma slots=8
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 40 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                      16.67
2                      16.09
4                      16.21
8                      16.67
16                     17.19
32                     18.13
64                     19.39
128                    22.12
256                    25.56
512                    34.05
1024                   53.61
2048                  147.39
4096                  293.55
8192                  394.15
16384                 627.73
32768                1171.31
65536                2381.78
131072               5914.13
262144               9486.32
524288              17930.56
1048576             33919.54
