hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.5.2.out
cat machinefile
hpc-lhr2-02-rdma slots=2
hpc-lhr2-03-rdma slots=2
hpc-lhr2-04-rdma slots=2
hpc-lhr2-05-rdma slots=2
hpc-lhr2-06-rdma slots=2
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 10 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       5.37
8                       5.19
16                      5.11
32                      5.40
64                      5.75
128                     7.40
256                     7.69
512                     8.17
1024                    9.24
2048                   11.22
4096                   15.31
8192                   24.17
16384                  42.02
32768                  54.26
65536                  78.80
131072                126.98
262144                222.54
524288                405.98
1048576               802.26
