hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.4.16.out
cat machinefile
hpc-lhr2-02-rdma slots=16
hpc-lhr2-03-rdma slots=16
hpc-lhr2-04-rdma slots=16
hpc-lhr2-05-rdma slots=16
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 64 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       8.38
8                       6.27
16                      6.11
32                      6.60
64                      6.83
128                     8.86
256                     9.31
512                    10.18
1024                   12.12
2048                   16.34
4096                   25.46
8192                   48.50
16384                  84.78
32768                  95.92
65536                 125.25
131072                173.20
262144                286.97
524288                557.17
1048576              1109.34
