hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.1.36.out
cat machinefile
hpc-lhr2-02-rdma slots=36
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 36 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       9.49
2                       9.82
4                       9.83
8                      10.58
16                     10.61
32                     11.30
64                     12.43
128                    14.76
256                    24.44
512                    29.26
1024                   45.18
2048                   68.63
4096                  121.83
8192                  236.92
16384                 436.77
32768                 997.22
65536                2135.61
131072               4399.30
262144               5196.29
524288              10369.08
1048576             20810.23
