hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.5.16.out
cat machinefile
hpc-lhr2-02-rdma slots=16
hpc-lhr2-03-rdma slots=16
hpc-lhr2-04-rdma slots=16
hpc-lhr2-05-rdma slots=16
hpc-lhr2-06-rdma slots=16
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 80 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       7.38
8                       6.94
16                      6.79
32                      7.83
64                      7.96
128                     9.90
256                    10.39
512                    11.30
1024                   13.57
2048                   17.75
4096                   59.73
8192                  150.65
16384                 132.65
32768                 111.06
65536                 141.66
131072                196.78
262144                310.83
524288                548.91
1048576              1167.44
