hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_alltoall.4.1.out
cat machinefile
hpc-lhr2-02-rdma slots=1
hpc-lhr2-03-rdma slots=1
hpc-lhr2-04-rdma slots=1
hpc-lhr2-05-rdma slots=1
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 4 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_alltoall

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.0
# Size       Avg Latency(us)
1                       2.32
2                       2.14
4                       2.08
8                       2.08
16                      2.07
32                      2.11
64                      2.17
128                     2.71
256                     2.80
512                     2.94
1024                    3.27
2048                    4.43
4096                   11.46
8192                   16.13
16384                  21.69
32768                  29.85
65536                  48.56
131072                109.83
262144                189.27
524288                353.17
1048576               705.89
