hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.2.1.out
cat machinefile
hpc-lhr2-02-rdma slots=1
hpc-lhr2-03-rdma slots=1
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 2 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                       1.72
8                       1.69
16                      1.99
32                      1.68
64                      1.72
128                     2.28
256                     2.38
512                     2.51
1024                    2.75
2048                    3.30
4096                    4.53
8192                    6.74
16384                  12.00
32768                  17.25
65536                  25.02
131072                 44.98
262144                 92.20
524288                175.67
1048576               364.56
