hpchub_mpirun /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce | tee -a ../../../runs/run/osu/opc-6-nodes-36-cores/Oracle/2019-01-11_13:29:45/osu_allreduce.6.36.out
cat machinefile
hpc-lhr2-02-rdma slots=36
hpc-lhr2-03-rdma slots=36
hpc-lhr2-04-rdma slots=36
hpc-lhr2-05-rdma slots=36
hpc-lhr2-06-rdma slots=36
hpc-lhr2-07-rdma slots=36
mpirun -mca btl self -x UCX_TLS=rc,self,sm -x HCOLL_ENABLE_MCAST_ALL=0 -mca coll_hcoll_enable 0 -x UCX_IB_TRAFFIC_CLASS=105 -x UCX_IB_GID_INDEX=3 -np 216 -machinefile machinefile --map-by socket:pe=1 --bind-to core  /home/opc/nfs-share/hpchub_benchmark/tests/osu/osu-micro-benchmarks-5.4/mpi/collective/osu_allreduce

# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
4                      12.22
8                      11.12
16                     11.17
32                     11.81
64                     12.42
128                    15.54
256                    16.35
512                    17.73
1024                   22.54
2048                   27.94
4096                  101.46
8192                  263.65
16384                 222.12
32768                 235.40
65536                 247.78
131072                323.78
262144                506.28
524288                791.26
1048576              1846.41
